회차별 추첨결과,,,,,,,,
,,1,2,3,4,5,6,보너스
2023,1060,3,10,24,33,38,45,36
,1059,7,10,22,25,34,40,27
,1058,11,23,25,30,32,40,42
,1057,8,13,19,27,40,45,12
,1056,13,20,24,32,36,45,29
,1055,4,7,12,14,22,33,31
,1054,14,19,27,28,30,45,33
,1053,22,26,29,30,34,45,15
,1052,5,17,26,27,35,38,1
,1051,21,26,30,32,33,35,44
,1050,6,12,31,35,38,43,17
,1049,3,5,13,20,21,37,17
2022,1048,6,12,17,21,32,39,30
,1047,2,20,33,40,42,44,32
,1046,7,16,25,29,35,36,28
,1045,6,14,15,19,21,41,37
,1044,12,17,20,26,28,36,4
,1043,3,5,12,22,26,31,19
,1042,5,14,15,23,34,43,4
,1041,6,7,9,11,17,18,45
,1040,8,16,26,29,31,36,11
,1039,2,3,6,19,36,39,26
,1038,7,16,24,27,37,44,2
,1037,2,14,15,22,27,33,31
,1036,2,5,22,32,34,45,39
,1035,9,14,34,35,41,42,2
,1034,26,31,32,33,38,40,11
,1033,3,11,15,20,35,44,10
,1032,1,6,12,19,36,42,28
,1031,6,7,22,32,35,36,19
,1030,2,5,11,17,24,29,9
,1029,12,30,32,37,39,41,24
,1028,5,7,12,13,18,35,23
,1027,14,16,27,35,39,45,5
,1026,5,12,13,31,32,41,34
,1025,8,9,20,25,29,33,7
,1024,9,18,20,22,38,44,10
,1023,10,14,16,18,29,35,25
,1022,5,6,11,29,42,45,28
,1021,12,15,17,24,29,45,16
,1020,12,27,29,38,41,45,6
,1019,1,4,13,17,34,39,6
,1018,3,19,21,25,37,45,35
,1017,12,18,22,23,30,34,32
,1016,15,26,28,34,41,42,44
,1015,14,23,31,33,37,40,44
,1014,3,11,14,18,26,27,21
,1013,21,22,26,34,36,41,32
,1012,5,11,18,20,35,45,3
,1011,1,9,12,26,35,38,42
,1010,9,12,15,25,34,36,3
,1009,15,23,29,34,40,44,20
,1008,9,11,30,31,41,44,33
,1007,8,11,16,19,21,25,40
,1006,8,11,15,16,17,37,36
,1005,8,13,18,24,27,29,17
,1004,7,15,30,37,39,44,18
,1003,1,4,29,39,43,45,31
,1002,17,25,33,35,38,45,15
,1001,6,10,12,14,20,42,15
,1000,2,8,19,22,32,42,39
,999,1,3,9,14,18,28,34
,998,13,17,18,20,42,45,41
,997,4,7,14,16,24,44,20
,996,6,11,15,24,32,39,28
2021,995,1,4,13,29,38,39,7
,994,1,3,8,24,27,35,28
,993,6,14,16,18,24,42,44
,992,12,20,26,33,44,45,24
,991,13,18,25,31,33,44,38
,990,2,4,25,26,36,37,28
,989,17,18,21,27,29,33,26
,988,2,13,20,30,31,41,27
,987,2,4,15,23,29,38,7
,986,7,10,16,28,41,42,40
,985,17,21,23,30,34,44,19
,984,3,10,23,35,36,37,18
,983,13,23,26,31,35,43,15
,982,5,7,13,20,21,44,33
,981,27,36,37,41,43,45,32
,980,3,13,16,23,24,35,14
,979,7,11,16,21,27,33,24
,978,1,7,15,32,34,42,8
,977,2,9,10,14,22,44,16
,976,4,12,14,25,35,37,2
,975,7,8,9,17,22,24,5
,974,1,2,11,16,39,44,32
,973,22,26,31,37,41,42,24
,972,3,6,17,23,37,39,26
,971,2,6,17,18,21,26,7
,970,9,11,16,21,28,36,5
,969,3,9,10,29,40,45,7
,968,2,5,12,14,24,39,33
,967,1,6,13,37,38,40,9
,966,1,21,25,29,34,37,36
,965,2,13,25,28,29,36,34
,964,6,21,36,38,39,43,30
,963,6,12,19,23,34,42,35
,962,1,18,28,31,34,43,40
,961,11,20,29,31,33,42,43
,960,2,18,24,30,32,45,14
,959,1,14,15,24,40,41,35
,958,2,9,10,16,35,37,1
,957,4,15,24,35,36,40,1
,956,10,11,20,21,25,41,40
,955,4,9,23,26,29,33,8
,954,1,9,26,28,30,41,32
,953,7,9,22,27,37,42,34
,952,4,12,22,24,33,41,38
,951,2,12,30,31,39,43,38
,950,3,4,15,22,28,40,10
,949,14,21,35,36,40,44,30
,948,13,18,30,31,38,41,5
,947,3,8,17,20,27,35,26
,946,9,18,19,30,34,40,20
,945,9,10,15,30,33,37,26
,944,2,13,16,19,32,33,42
2020,943,1,8,13,36,44,45,39
,942,10,12,18,35,42,43,39
,941,12,14,25,27,39,40,35
,940,3,15,20,22,24,41,11
,939,4,11,28,39,42,45,6
,938,4,8,10,16,31,36,9
,937,2,10,13,22,29,40,26
,936,7,11,13,17,18,29,43
,935,4,10,20,32,38,44,18
,934,1,3,30,33,36,39,12
,933,23,27,29,31,36,45,37
,932,1,6,15,36,37,38,5
,931,14,15,23,25,35,43,32
,930,8,21,25,38,39,44,28
,929,7,9,12,15,19,23,4
,928,3,4,10,20,28,44,30
,927,4,15,22,38,41,43,26
,926,10,16,18,20,25,31,6
,925,13,24,32,34,39,42,4
,924,3,11,34,42,43,44,13
,923,3,17,18,23,36,41,26
,922,2,6,13,17,27,43,36
,921,5,7,12,22,28,41,1
,920,2,3,26,33,34,43,29
,919,9,14,17,18,42,44,35
,918,7,11,12,31,33,38,5
,917,1,3,23,24,27,43,34
,916,6,21,22,32,35,36,17
,915,2,6,11,13,22,37,14
,914,16,19,24,33,42,44,27
,913,6,14,16,21,27,37,40
,912,5,8,18,21,22,38,10
,911,4,5,12,14,32,42,35
,910,1,11,17,27,35,39,31
,909,7,24,29,30,34,35,33
,908,3,16,21,22,23,44,30
,907,21,27,29,38,40,44,37
,906,2,5,14,28,31,32,20
,905,3,4,16,27,38,40,20
,904,2,6,8,26,43,45,11
,903,2,15,16,21,22,28,45
,902,7,19,23,24,36,39,30
,901,5,18,20,23,30,34,21
,900,7,13,16,18,35,38,14
,899,8,19,20,21,33,39,37
,898,18,21,28,35,37,42,17
,897,6,7,12,22,26,36,29
,896,5,12,25,26,38,45,23
,895,16,26,31,38,39,41,23
,894,19,32,37,40,41,43,45
,893,1,15,17,23,25,41,10
,892,4,9,17,18,26,42,36
2019,891,9,13,28,31,39,41,19
,890,1,4,14,18,29,37,6
,889,3,13,29,38,39,42,26
,888,3,7,12,31,34,38,32
,887,8,14,17,27,36,45,10
,886,19,23,28,37,42,45,2
,885,1,3,24,27,39,45,31
,884,4,14,23,28,37,45,17
,883,9,18,32,33,37,44,22
,882,18,34,39,43,44,45,23
,881,4,18,20,26,27,32,9
,880,7,17,19,23,24,45,38
,879,1,4,10,14,15,35,20
,878,2,6,11,16,25,31,3
,877,5,17,18,22,23,43,12
,876,5,16,21,26,34,42,24
,875,19,22,30,34,39,44,36
,874,1,15,19,23,28,42,32
,873,3,5,12,13,33,39,38
,872,2,4,30,32,33,43,29
,871,2,6,12,26,30,34,38
,870,21,25,30,32,40,42,31
,869,2,6,20,27,37,39,4
,868,12,17,28,41,43,44,25
,867,14,17,19,22,24,40,41
,866,9,15,29,34,37,39,12
,865,3,15,22,32,33,45,2
,864,3,7,10,13,25,36,32
,863,16,21,28,35,39,43,12
,862,10,34,38,40,42,43,32
,861,11,17,19,21,22,25,24
,860,4,8,18,25,27,32,42
,859,8,22,35,38,39,41,24
,858,9,13,32,38,39,43,23
,857,6,10,16,28,34,38,43
,856,10,24,40,41,43,44,17
,855,8,15,17,19,43,44,7
,854,20,25,31,32,36,43,3
,853,2,8,23,26,27,44,13
,852,11,17,28,30,33,35,9
,851,14,18,22,26,31,44,40
,850,16,20,24,28,36,39,5